,Regione,Tipo Ateneo,Sesso,Corso di laurea,Anno,Value
1008,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2014,69
1009,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2015,101
1010,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2016,67
1011,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2017,70
1032,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2008,23
1033,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2009,41
1034,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2010,29
1035,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2011,7
1036,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2012,7
1037,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2013,0
1038,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2014,0
1039,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2015,0
1040,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2016,0
1041,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2017,0
1042,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2008,23
1043,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2009,41
1044,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2010,29
1045,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2011,7
1046,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2012,7
1047,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2013,0
1048,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2014,0
1049,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2015,0
1050,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2016,0
1051,Trentino Alto Adige / Südtirol,privata,maschi,scientifico,2017,0
1052,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2008,4
1053,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2009,9
1054,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2010,6
1055,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2011,1
1056,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2012,0
1057,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2013,0
1058,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2014,0
1059,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2015,0
1060,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2016,0
1061,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2017,0
1062,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2008,4
1063,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2009,9
1064,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2010,6
1065,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2011,1
1066,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2012,0
1067,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2013,0
1068,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2014,0
1069,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2015,0
1070,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2016,0
1071,Trentino Alto Adige / Südtirol,privata,femmine,scientifico,2017,0
1152,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2008,23
1153,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2009,41
1154,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2010,29
1155,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2011,7
1156,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2012,7
1157,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2013,0
1158,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2014,0
1159,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2015,0
1160,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2016,0
1161,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2017,0
1162,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2008,23
1163,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2009,41
1164,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2010,29
1165,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2011,7
1166,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2012,7
1167,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2013,0
1168,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2014,0
1169,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2015,0
1170,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2016,0
1171,Provincia Autonoma Bolzano / Bozen,privata,maschi,scientifico,2017,0
1172,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2008,4
1173,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2009,9
1174,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2010,6
1175,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2011,1
1176,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2012,0
1177,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2013,0
1178,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2014,0
1179,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2015,0
1180,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2016,0
1181,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2017,0
1182,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2008,4
1183,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2009,9
1184,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2010,6
1185,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2011,1
1186,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2012,0
1187,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2013,0
1188,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2014,0
1189,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2015,0
1190,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2016,0
1191,Provincia Autonoma Bolzano / Bozen,privata,femmine,scientifico,2017,0
1272,Provincia Autonoma Trento,pubblica,maschi,scientifico,2008,139
1273,Provincia Autonoma Trento,pubblica,maschi,scientifico,2009,153
1274,Provincia Autonoma Trento,pubblica,maschi,scientifico,2010,154
1275,Provincia Autonoma Trento,pubblica,maschi,scientifico,2011,202
1276,Provincia Autonoma Trento,pubblica,maschi,scientifico,2012,240
1277,Provincia Autonoma Trento,pubblica,maschi,scientifico,2013,221
1278,Provincia Autonoma Trento,pubblica,maschi,scientifico,2014,255
1279,Provincia Autonoma Trento,pubblica,maschi,scientifico,2015,267
1280,Provincia Autonoma Trento,pubblica,maschi,scientifico,2016,231
1281,Provincia Autonoma Trento,pubblica,maschi,scientifico,2017,227
1282,Provincia Autonoma Trento,pubblica,maschi,scientifico,2008,139
1283,Provincia Autonoma Trento,pubblica,maschi,scientifico,2009,153
1284,Provincia Autonoma Trento,pubblica,maschi,scientifico,2010,154
1285,Provincia Autonoma Trento,pubblica,maschi,scientifico,2011,202
1286,Provincia Autonoma Trento,pubblica,maschi,scientifico,2012,240
1287,Provincia Autonoma Trento,pubblica,maschi,scientifico,2013,221
1288,Provincia Autonoma Trento,pubblica,maschi,scientifico,2014,255
1289,Provincia Autonoma Trento,pubblica,maschi,scientifico,2015,267
1290,Provincia Autonoma Trento,pubblica,maschi,scientifico,2016,231
1291,Provincia Autonoma Trento,pubblica,maschi,scientifico,2017,227
1292,Provincia Autonoma Trento,pubblica,femmine,scientifico,2008,62
1293,Provincia Autonoma Trento,pubblica,femmine,scientifico,2009,63
1294,Provincia Autonoma Trento,pubblica,femmine,scientifico,2010,80
1295,Provincia Autonoma Trento,pubblica,femmine,scientifico,2011,69
1296,Provincia Autonoma Trento,pubblica,femmine,scientifico,2012,65
1297,Provincia Autonoma Trento,pubblica,femmine,scientifico,2013,68
1298,Provincia Autonoma Trento,pubblica,femmine,scientifico,2014,68
1299,Provincia Autonoma Trento,pubblica,femmine,scientifico,2015,98
1300,Provincia Autonoma Trento,pubblica,femmine,scientifico,2016,63
1301,Provincia Autonoma Trento,pubblica,femmine,scientifico,2017,63
1302,Provincia Autonoma Trento,pubblica,femmine,scientifico,2008,62
1303,Provincia Autonoma Trento,pubblica,femmine,scientifico,2009,63
1304,Provincia Autonoma Trento,pubblica,femmine,scientifico,2010,80
1305,Provincia Autonoma Trento,pubblica,femmine,scientifico,2011,69
1306,Provincia Autonoma Trento,pubblica,femmine,scientifico,2012,65
1307,Provincia Autonoma Trento,pubblica,femmine,scientifico,2013,68
1308,Provincia Autonoma Trento,pubblica,femmine,scientifico,2014,68
1309,Provincia Autonoma Trento,pubblica,femmine,scientifico,2015,98
1310,Provincia Autonoma Trento,pubblica,femmine,scientifico,2016,63
1311,Provincia Autonoma Trento,pubblica,femmine,scientifico,2017,63
1392,Veneto,pubblica,maschi,scientifico,2008,484
1393,Veneto,pubblica,maschi,scientifico,2009,441
1394,Veneto,pubblica,maschi,scientifico,2010,488
1395,Veneto,pubblica,maschi,scientifico,2011,477
1396,Veneto,pubblica,maschi,scientifico,2012,479
1397,Veneto,pubblica,maschi,scientifico,2013,512
1398,Veneto,pubblica,maschi,scientifico,2014,602
1399,Veneto,pubblica,maschi,scientifico,2015,662
1400,Veneto,pubblica,maschi,scientifico,2016,810
1401,Veneto,pubblica,maschi,scientifico,2017,855
1402,Veneto,pubblica,maschi,scientifico,2008,484
1403,Veneto,pubblica,maschi,scientifico,2009,441
1404,Veneto,pubblica,maschi,scientifico,2010,488
1405,Veneto,pubblica,maschi,scientifico,2011,477
1406,Veneto,pubblica,maschi,scientifico,2012,479
1407,Veneto,pubblica,maschi,scientifico,2013,512
1408,Veneto,pubblica,maschi,scientifico,2014,602
1409,Veneto,pubblica,maschi,scientifico,2015,662
1410,Veneto,pubblica,maschi,scientifico,2016,810
1411,Veneto,pubblica,maschi,scientifico,2017,855
1412,Veneto,pubblica,femmine,scientifico,2008,200
1413,Veneto,pubblica,femmine,scientifico,2009,197
1414,Veneto,pubblica,femmine,scientifico,2010,186
1415,Veneto,pubblica,femmine,scientifico,2011,147
1416,Veneto,pubblica,femmine,scientifico,2012,204
1417,Veneto,pubblica,femmine,scientifico,2013,178
1418,Veneto,pubblica,femmine,scientifico,2014,220
1419,Veneto,pubblica,femmine,scientifico,2015,235
1420,Veneto,pubblica,femmine,scientifico,2016,329
1421,Veneto,pubblica,femmine,scientifico,2017,359
1422,Veneto,pubblica,femmine,scientifico,2008,200
1423,Veneto,pubblica,femmine,scientifico,2009,197
1424,Veneto,pubblica,femmine,scientifico,2010,186
1425,Veneto,pubblica,femmine,scientifico,2011,147
1426,Veneto,pubblica,femmine,scientifico,2012,204
1427,Veneto,pubblica,femmine,scientifico,2013,178
1428,Veneto,pubblica,femmine,scientifico,2014,220
1429,Veneto,pubblica,femmine,scientifico,2015,235
1430,Veneto,pubblica,femmine,scientifico,2016,329
1431,Veneto,pubblica,femmine,scientifico,2017,359
1512,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2008,206
1513,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2009,162
1514,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2010,176
1515,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2011,172
1516,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2012,175
1517,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2013,194
1518,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2014,203
1519,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2015,222
1520,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2016,287
1521,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2017,301
1522,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2008,206
1523,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2009,162
1524,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2010,176
1525,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2011,172
1526,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2012,175
1527,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2013,194
1528,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2014,203
1529,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2015,222
1530,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2016,287
1531,Friuli-Venezia Giulia,pubblica,maschi,scientifico,2017,301
1532,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2008,56
1533,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2009,75
1534,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2010,83
1535,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2011,72
1536,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2012,66
1537,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2013,62
1538,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2014,60
1539,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2015,57
1540,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2016,78
1541,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2017,88
1542,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2008,56
1543,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2009,75
1544,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2010,83
1545,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2011,72
1546,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2012,66
1547,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2013,62
1548,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2014,60
1549,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2015,57
1550,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2016,78
1551,Friuli-Venezia Giulia,pubblica,femmine,scientifico,2017,88
1632,Emilia-Romagna,pubblica,maschi,scientifico,2009,0
1633,Emilia-Romagna,pubblica,maschi,scientifico,2008,580
1634,Emilia-Romagna,pubblica,maschi,scientifico,2009,528
1635,Emilia-Romagna,pubblica,maschi,scientifico,2010,552
1636,Emilia-Romagna,pubblica,maschi,scientifico,2011,633
1637,Emilia-Romagna,pubblica,maschi,scientifico,2012,702
1638,Emilia-Romagna,pubblica,maschi,scientifico,2013,596
1639,Emilia-Romagna,pubblica,maschi,scientifico,2014,587
1640,Emilia-Romagna,pubblica,maschi,scientifico,2015,685
1641,Emilia-Romagna,pubblica,maschi,scientifico,2016,827
1642,Emilia-Romagna,pubblica,maschi,scientifico,2017,820
1643,Emilia-Romagna,pubblica,maschi,scientifico,2008,580
1644,Emilia-Romagna,pubblica,maschi,scientifico,2009,528
1645,Emilia-Romagna,pubblica,maschi,scientifico,2010,552
1646,Emilia-Romagna,pubblica,maschi,scientifico,2011,633
1647,Emilia-Romagna,pubblica,maschi,scientifico,2012,702
1648,Emilia-Romagna,pubblica,maschi,scientifico,2013,596
1649,Emilia-Romagna,pubblica,maschi,scientifico,2014,587
1650,Emilia-Romagna,pubblica,maschi,scientifico,2015,685
1651,Emilia-Romagna,pubblica,maschi,scientifico,2016,827
1652,Emilia-Romagna,pubblica,maschi,scientifico,2017,820
1653,Emilia-Romagna,pubblica,femmine,scientifico,2009,1
1654,Emilia-Romagna,pubblica,femmine,scientifico,2008,236
1655,Emilia-Romagna,pubblica,femmine,scientifico,2009,247
1656,Emilia-Romagna,pubblica,femmine,scientifico,2010,258
1657,Emilia-Romagna,pubblica,femmine,scientifico,2011,233
1658,Emilia-Romagna,pubblica,femmine,scientifico,2012,272
1659,Emilia-Romagna,pubblica,femmine,scientifico,2013,244
1660,Emilia-Romagna,pubblica,femmine,scientifico,2014,215
1661,Emilia-Romagna,pubblica,femmine,scientifico,2015,258
1662,Emilia-Romagna,pubblica,femmine,scientifico,2016,312
1663,Emilia-Romagna,pubblica,femmine,scientifico,2017,311
1664,Emilia-Romagna,pubblica,femmine,scientifico,2008,236
1665,Emilia-Romagna,pubblica,femmine,scientifico,2009,248
1666,Emilia-Romagna,pubblica,femmine,scientifico,2010,258
1667,Emilia-Romagna,pubblica,femmine,scientifico,2011,233
